R0,vaccine_failure,coverage,phi,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.76,0.6,227879.325216566,89391.4598290637,743.62227826611,47.4524273102877,2171377.05250517,7510561.08774363,0.0599847612062285,271.515084351913,17.3260675216688
15,0.03,0.76,0.61,225505.677250189,90549.0734180626,744.434893098783,47.0561200209003,2173749.88785671,7509403.87046192,0.0594525007118241,271.811790342693,17.1813658226312
15,0.03,0.76,0.62,223180.47299148,91743.5562739989,745.230923318584,46.6471905943012,2176074.2960852,7508209.79653541,0.0589070335127773,272.102440876698,17.0320554657442
15,0.03,0.76,0.63,220902.236215053,92976.6704686316,746.010874285424,46.22503578632,2178351.75291066,7506977.10449558,0.0583475644043123,272.387220473466,16.8779161914801
15,0.03,0.76,0.64,218669.549053768,94250.3072172652,746.775231405996,45.7890081416884,2180583.67571483,7505703.90377459,0.05777324519186,272.666306367114,16.718711597734
15,0.03,0.76,0.65,216481.049082758,95566.4991580217,747.524461103284,45.3384117903597,2182771.42645614,7504388.16243019,0.05718316917135,272.939868860336,16.5541876049551
15,0.03,0.76,0.66,214335.426586919,96927.4341589653,748.259011772023,44.8724977198298,2184916.31440131,7503027.69334332,0.0565763649316857,273.20807167326,16.3840707299529
15,0.03,0.76,0.67,212231.421970197,98335.4708836655,748.979314629637,44.3904584444816,2187019.59871517,7501620.13865789,0.0559517893812354,273.471072254146,16.2080661395413
15,0.03,0.76,0.68,210167.823302448,99793.1563906334,749.685784566338,43.891421982351,2189082.49091299,7500162.95218738,0.0553083198712791,273.729022089784,16.0258554513059
15,0.03,0.76,0.69,208143.464011625,101303.246095075,750.378820938045,43.3744450199873,2191106.15716744,7498653.3794599,0.0546447452630458,273.982066995004,15.8370942379229
15,0.03,0.76,0.7,206157.220688804,102868.726482653,751.058808394648,42.8385051413838,2193091.7205028,7497088.43501221,0.0539597557656172,274.230347415096,15.6414091897478
15,0.03,0.76,0.71,204208.011008761,104492.841045532,751.726117420812,42.2824919391563,2195040.26287382,7495464.87646253,0.0532519313275951,274.473998623274,15.4383948692844
